province_name,district_name
An Giang,An Phú
An Giang,Châu Phú
An Giang,Châu Thành
An Giang,Châu Đốc
An Giang,Chợ Mới
An Giang,Long Xuyên
An Giang,Phú Tân
An Giang,Thoại Sơn
An Giang,Tri Tôn
An Giang,Tân Châu
An Giang,Tịnh Biên
Bà Rịa - Vũng Tàu,Bà Rịa
Bà Rịa - Vũng Tàu,Châu Đức
Bà Rịa - Vũng Tàu,Côn Đảo
Bà Rịa - Vũng Tàu,Long Đất
Bà Rịa - Vũng Tàu,Phú Mỹ
Bà Rịa - Vũng Tàu,Vũng Tàu
Bà Rịa - Vũng Tàu,Xuyên Mộc
Bình Dương,Bàu Bàng
Bình Dương,Bắc Tân Uyên
Bình Dương,Bến Cát
Bình Dương,Dĩ An
Bình Dương,Dầu Tiếng
Bình Dương,Phú Giáo
Bình Dương,Thuận An
Bình Dương,Thủ Dầu Một
Bình Dương,Tân Uyên
Bình Phước,Bình Long
Bình Phước,Bù Gia Mập
Bình Phước,Bù Đăng
Bình Phước,Bù Đốp
Bình Phước,Chơn Thành
Bình Phước,Hớn Quản
Bình Phước,Lộc Ninh
Bình Phước,Phú Riềng
Bình Phước,Phước Long
Bình Phước,Đồng Phú
Bình Phước,Đồng Xoài
Bình Thuận,Bắc Bình
Bình Thuận,Hàm Thuận Bắc
Bình Thuận,Hàm Thuận Nam
Bình Thuận,Hàm Tân
Bình Thuận,La Gi
Bình Thuận,Phan Thiết
Bình Thuận,Tuy Phong
Bình Thuận,Tánh Linh
Bình Thuận,Đức Linh
Bình Định,An Nhơn
Bình Định,Hoài Nhơn
Bình Định,Hoài Ân
Bình Định,Phù Cát
Bình Định,Phù Mỹ
Bình Định,Quy Nhơn
Bình Định,Tuy Phước
Bình Định,Tây Sơn
Bình Định,Vân Canh
Bình Định,Vĩnh Thạnh
Bạc Liêu,Bạc Liêu
Bạc Liêu,Giá Rai
Bạc Liêu,Hòa Bình
Bạc Liêu,Hồng Dân
Bạc Liêu,Phước Long
Bạc Liêu,Vĩnh Lợi
Bạc Liêu,Đông Hải
Bắc Giang,Bắc Giang
Bắc Giang,Hiệp Hòa
Bắc Giang,Lạng Giang
Bắc Giang,Lục Nam
Bắc Giang,Lục Ngạn
Bắc Giang,Sơn Động
Bắc Giang,Tân Yên
Bắc Giang,Việt Yên
Bắc Giang,Yên Thế
Bắc Kạn,Ba Bể
Bắc Kạn,Bạch Thông
Bắc Kạn,Bắc Kạn
Bắc Kạn,Chợ Đồn
Bắc Kạn,Na Rì
Bắc Kạn,Ngân Sơn
Bắc Ninh,Bắc Ninh
Bắc Ninh,Gia Bình
Bắc Ninh,Lương Tài
Bắc Ninh,Quế Võ
Bắc Ninh,Thuận Thành
Bắc Ninh,Tiên Du
Bắc Ninh,Từ Sơn
Bắc Ninh,Yên Phong
Bến Tre,Ba Tri
Bến Tre,Bình Đại
Bến Tre,Bến Tre
Bến Tre,Châu Thành
Bến Tre,Chợ Lách
Bến Tre,Giồng Trôm
Bến Tre,Mỏ Cày Bắc
Bến Tre,Mỏ Cày Nam
Bến Tre,Thạnh Phú
Cao Bằng,Bảo Lâm
Cao Bằng,Bảo Lạc
Cao Bằng,Cao Bằng
Cao Bằng,Hà Quảng
Cao Bằng,Hòa An
Cao Bằng,Hạ Lang
Cao Bằng,Nguyên Bình
Cao Bằng,Quảng Hòa
Cao Bằng,Thạch An
Cà Mau,Cà Mau
Cà Mau,Cái Nước
Cà Mau,Ngọc Hiển
Cà Mau,Năm Căn
Cà Mau,Phú Tân
Cà Mau,Thới Bình
Cà Mau,Trần Văn Thời
Cà Mau,U Minh
Cà Mau,Đầm Dơi
Cần Thơ,Bình Thủy
