province_name,records
Hồ Chí Minh,1357526
Hà Nội,1140542
Đà Nẵng,185973
Bình Dương,150377
Khánh Hòa,98377
Hải Phòng,72788
Hưng Yên,65223
Đồng Nai,59543
Long An,47125
Bà Rịa - Vũng Tàu,45885
Lâm Đồng,26007
Quảng Ninh,20532
Bắc Ninh,20434
Quảng Nam,19997
Hòa Bình,13373
Thanh Hóa,11186
Hà Nam,11111
Vĩnh Phúc,10803
Huế,10118
Tây Ninh,9292
Bình Thuận,9268
Cần Thơ,8654
Bình Phước,8646
Thái Nguyên,8277
Đắk Lắk,7413
Bình Định,7038
Kiên Giang,6671
Bắc Giang,6566
Nghệ An,5407
Nam Định,5367
Tiền Giang,5286
Phú Thọ,5269
Bến Tre,4510
Phú Yên,4252
Thái Bình,3792
Ninh Thuận,3183
Hải Dương,2788
Lào Cai,1924
Quảng Ngãi,1886
An Giang,1684
Quảng Bình,1564
Vĩnh Long,1543
Đồng Tháp,1536
Quảng Trị,1441
Ninh Bình,1252
Hà Tĩnh,1080
Gia Lai,1065
Đắk Nông,963
Hậu Giang,922
Cà Mau,772
Sóc Trăng,654
Trà Vinh,590
Kon Tum,547
Yên Bái,529
Lạng Sơn,490
Sơn La,475
Tuyên Quang,352
Bạc Liêu,286
Cao Bằng,193
Điện Biên,131
Hà Giang,128
Lai Châu,94
Bắc Kạn,44
