name,property_type_name,province_name,district_name,price,area
Chủ cần bán đất dự án khu thương mại dịch vụ. và nhà ở,Đất,Đồng Nai,Trảng Bom,26597191000000000,71884.3
"tòa nhà văn phòng mặt phố quận đống đa 410m x 10 tầng mt 13,5m hầm rộng + thang máy vị trí đắc địa!",Nhà,Hà Nội,Đống Đa,2424000000000000,410.0
"Vị trí ""VÀNG"" - Nhà mặt phố Lý Thường Kiệt . DT 734m2, MT 30m, XD 12 tầng +4 hầm",Nhà,Hà Nội,Hoàn Kiếm,2250000000000000,734.0
"Đất View Sông Sài Gòn PTDA Resort Villas Nghỉ Dưỡng Long Phước, Quận 9 (Tp. Thủ Đức) P. Long Phước",Đất,Hồ Chí Minh,Thủ Đức,1000000000000000,47000.0
Duy nhất 1 Căn hộ view sông có sân vườn tại Đà Nẵng giá 60tr/m2 1,Căn hộ chung cư,Đà Nẵng,Hải Châu,999910000000000,999999.0
"Căn đẹp nhất dự án mặt sông tại Đà Nẵng , có sân vườn giá 60tr/m2",Căn hộ chung cư,Đà Nẵng,Hải Châu,999910000000000,999999.0
"Đất nền ven sông Cần Thơ, view mát mẻ, liền kề Phi Yến",Đất,Cần Thơ,Cái Răng,920000000000000,244.8
"Bán 7105m2 đất, hơn 100m mặt đường gần Vincom Dĩ An, đường Dt743c. Giá 124 tỷ",Đất,Bình Dương,Dĩ An,881020000000000,7105.0
"bán nhanh nhà Quang Trung, La Khê , Hà Đông, Hà Nội",Nhà,Hà Nội,Hà Đông,595000000000000,22.0
"Bán lô đất 3 hecta full thổ cư ngang 150m View Sông vị trí đẹp,mặt tiền đường Tam Thôn Hiệp,Cần Giờ",Đất,Hồ Chí Minh,Cần Giờ,449055000000000,29937000.0
"Bán lô đất 3 hecta full thổ cư ngang 150m View Sông vị trí đẹp,mặt tiền đường Tam Thôn Hiệp,Cần Giờ",Đất,Hồ Chí Minh,Cần Giờ,449055000000000,29937000.0
"Bán lô đất 3 hecta full thổ cư ngang 150m View Sông vị trí đẹp,mặt tiền đường Tam Thôn Hiệp,Cần Giờ",Đất,Hồ Chí Minh,Cần Giờ,449055000000000,29937000.0
bán nhà mặt phố 5 tầng quận thanh xuân xây tòa biulding tòa nhà văn phòng dt 1100m giá 390 tỷ,Nhà,Hà Nội,Thanh Xuân,390390000000000,1100.0
Ngợp 1 lô đất ngay đường D Vsip 2. Vĩnh Tân Tân Uyên với DT 332m2 sổ hồng riêng,Đất,Bình Dương,Tân Uyên,345280000000000,332.0
"Bán đất tặng nhà 3 tầng mặt phố xã đàn quận đống đa ,ba đình , hai bà trưng tòa nhà văn phòng 450m",Nhà,Hà Nội,Đống Đa,330330000000000,450.0
"Chuyển nhượng dự án nhà ở thấp tầng - khu đô thị mới nam hồ linh đàm 38392m, mt 200m, giá 3050 tỷ",Đất,Hà Nội,Hoàng Mai,305000000000000,38392.0
bán tòa nhà văn phòng mặt phố quận hai bà trưng 460m x 9 tầng x mt 15m giá chào 280 tỷ,Nhà,Hà Nội,Hai Bà Trưng,280280000000000,460.0
Bán Nhanh - Biệt Thự Vinhome Tân Cảng 275M2 Đất - 650M2 Sử Dụng - Full Nội Thất Ý 100% - Đã có sổ,Biệt thự/Nhà liền kề,Hồ Chí Minh,Bình Thạnh,278990000000000,650.0
"Chính chủ cần tiền đại hạ giá, mảnh đất 2.4ha mặt Bãi Dài MT45m sát Xanh Villas giá chỉ 10tr/m2",Đất,Hà Nội,Thạch Thất,240000000000000,24000000.0
"tòa nhà văn phòng hạng A mặt phố tây hồ ,hầm siêu khủng đẳng cấp làm trụ sở tập đoàn giá 243 tỷ",Nhà,Hà Nội,Tây Hồ,234234000000000,350.0
